split,graph_idx,filename,SMILES,geom_smiles,geom_match_type,geom_source,geom_canonical,geom_local_pickle
train,95,18637,CNCCC1=CNC2=CC=CC=C21,CNCCc1c[nH]c2ccccc12,canonical,drugs,CNCCc1c[nH]c2ccccc12,GEOM_HSQC_matched/CNCCc1c[nH]c2ccccc12.pickle
train,165,19111,CC1=CC(=C(C(=C1)OC2=C(C=C(C=C2OC)O)C(=O)OC)C(=O)O)O,COC(=O)c1cc(O)cc(OC)c1Oc1cc(C)cc(O)c1C(=O)O,canonical,drugs,COC(=O)c1cc(O)cc(OC)c1Oc1cc(C)cc(O)c1C(=O)O,GEOM_HSQC_matched/COC(=O)c1cc(O)cc(OC)c1Oc1cc(C)cc(O)c1C(=O)O.pickle
train,166,27457,CC1=CC(=C(C(=C1)OC2=C(C=C(C=C2OC)O)C(=O)OC)C(=O)O)O,COC(=O)c1cc(O)cc(OC)c1Oc1cc(C)cc(O)c1C(=O)O,canonical,drugs,COC(=O)c1cc(O)cc(OC)c1Oc1cc(C)cc(O)c1C(=O)O,GEOM_HSQC_matched/COC(=O)c1cc(O)cc(OC)c1Oc1cc(C)cc(O)c1C(=O)O.pickle
train,245,20412,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,canonical,drugs,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,GEOM_HSQC_matched/COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1.pickle
train,251,20452,CC1=CC2=C(C(=C1)O)OC3=C(C(=C(C=C3)C(CC(C)C)OC(=O)C)OC)C(=O)OC2,COc1c(C(CC(C)C)OC(C)=O)ccc2c1C(=O)OCc1cc(C)cc(O)c1O2,canonical,drugs,COc1c(C(CC(C)C)OC(C)=O)ccc2c1C(=O)OCc1cc(C)cc(O)c1O2,GEOM_HSQC_matched/COc1c(C(CC(C)C)OC(C)=O)ccc2c1C(=O)OCc1cc(C)cc(O)c1O2.pickle
train,252,20453,C[C@@H]1CCC[C@H](/C=C/C(=O)O[C@]23[C@@H](/C=C/C1)[C@@H](C(=C)[C@H]([C@H]2[C@@H](NC3=O)CC4=CC=CC=C4)C)O)O,C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23OC(=O)/C=C/[C@H](O)CCC[C@@H](C)C/C=C/[C@H]3[C@@H]1O,canonical,drugs,C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23OC(=O)/C=C/[C@H](O)CCC[C@@H](C)C/C=C/[C@H]3[C@@H]1O,GEOM_HSQC_matched/C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23OC(=O)_C=C_[C@H](O)CCC[C@@H](C)C_C=C_[C@H]3[C@@H]1O.pickle
train,299,04284,C[C@@]12CC[C@H]([C@@]([C@H]1CCC(=C)[C@H]2C/C=C/3\[C@@H](COC3=O)O)(C)CO)O,C=C1CCC2C(C)(CO)C(O)CCC2(C)C1CC=C1C(=O)OCC1O,no_stereo,drugs,C=C1CCC2C(C)(CO)C(O)CCC2(C)C1CC=C1C(=O)OCC1O,GEOM_HSQC_matched/C=C1CCC2C(C)(CO)C(O)CCC2(C)C1CC=C1C(=O)OCC1O.pickle
train,303,04300,CC#CCC1=CC2=CC=CC=C2C(=O)O1,CC#CCc1cc2ccccc2c(=O)o1,canonical,drugs,CC#CCc1cc2ccccc2c(=O)o1,GEOM_HSQC_matched/CC#CCc1cc2ccccc2c(=O)o1.pickle
train,481,02208,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,canonical,drugs,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,GEOM_HSQC_matched/O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12.pickle
train,482,11342,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,canonical,drugs,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,GEOM_HSQC_matched/O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12.pickle
