graph_idx,graph_smiles,canonical_smiles,pickle_path,source,match_type
28,c1cnc2ncnn2c1,c1cnc2ncnn2c1,qm9/c1cnc2ncnn2c1.pickle,qm9,canonical
135,O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,drugs/O=C1c2ccccc2C(=O)c2c1ccc(O)c2O.pickle,drugs,canonical
260,COc1cc(CCC(C)=O)ccc1O,COc1cc(CCC(C)=O)ccc1O,drugs/COc1cc(CCC(C)=O)ccc1O.pickle,drugs,canonical
266,CC1=CC(=O)CC(C)(C)C1(O)/C=C/C(C)=C\C(=O)O,CC(C=CC1(O)C(C)=CC(=O)CC1(C)C)=CC(=O)O,drugs/CC(C=CC1(O)C(C)=CC(=O)CC1(C)C)=CC(=O)O.pickle,drugs,no_stereo
276,O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,drugs/O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21.pickle,drugs,canonical
288,CC(=O)c1cc2c(cc1O)OC(C)(C)C=C2,CC(=O)c1cc2c(cc1O)OC(C)(C)C=C2,drugs/CC(=O)c1cc2c(cc1O)OC(C)(C)C=C2.pickle,drugs,canonical
322,CC[C@@H](CC[C@@H](C)C1CCC2C3CC=C4C[C@@H](O)CCC4(C)C3CCC21C)C(C)C,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,drugs/CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C.pickle,drugs,no_stereo
388,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,drugs/CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl.pickle,drugs,canonical
405,C/C=C/c1cc(OC)c(OC)cc1OC,C/C=C/c1cc(OC)c(OC)cc1OC,drugs/C_C=C_c1cc(OC)c(OC)cc1OC.pickle,drugs,canonical
439,COC(=O)C1=CO[C@@H](C)C2CN3CCc4c([nH]c5ccccc45)C3CC12,COC(=O)C1=COC(C)C2CN3CCc4c([nH]c5ccccc45)C3CC12,drugs/COC(=O)C1=COC(C)C2CN3CCc4c([nH]c5ccccc45)C3CC12.pickle,drugs,no_stereo
462,[H]C1([H])c2cc(C)ccc2N2Cc3cc(C)ccc3N1C2,Cc1ccc2c(c1)CN1CN2Cc2cc(C)ccc21,drugs/Cc1ccc2c(c1)CN1CN2Cc2cc(C)ccc21.pickle,drugs,canonical
509,COc1c2ccoc2nc2c(OC)c(OCC(O)C(C)(C)O)ccc12,COc1c2ccoc2nc2c(OC)c(OCC(O)C(C)(C)O)ccc12,drugs/COc1c2ccoc2nc2c(OC)c(OCC(O)C(C)(C)O)ccc12.pickle,drugs,canonical
644,c1ccccc1,c1ccccc1,qm9/c1ccccc1.pickle,qm9,canonical
663,CCCCC,CCCCC,qm9/CCCCC.pickle,qm9,canonical
666,COC(=O)CC(C)=O,COC(=O)CC(C)=O,qm9/COC(=O)CC(C)=O.pickle,qm9,canonical
671,CCOCC,CCOCC,qm9/CCOCC.pickle,qm9,canonical
673,CC(C)CCC#N,CC(C)CCC#N,qm9/CC(C)CCC#N.pickle,qm9,canonical
674,CC(C)(C)O,CC(C)(C)O,qm9/CC(C)(C)O.pickle,qm9,canonical
676,CC(O)CO,CC(O)CO,drugs/CC(O)CO.pickle,drugs,canonical
677,CC(C)(O)C(C)(C)O,CC(C)(O)C(C)(C)O,qm9/CC(C)(O)C(C)(C)O.pickle,qm9,canonical
701,C1=C\CC/C=C\CC/1,C1=CCCC=CCC1,qm9/C1=CCCC=CCC1.pickle,qm9,no_stereo
702,C1=CCOC1,C1=CCOC1,qm9/C1=CCOC1.pickle,qm9,canonical
706,Cc1ccc(C=O)cc1,Cc1ccc(C=O)cc1,qm9/Cc1ccc(C=O)cc1.pickle,qm9,canonical
710,Cn1ccnc1,Cn1ccnc1,qm9/Cn1ccnc1.pickle,qm9,canonical
713,OC1CC=CC1,OC1CC=CC1,qm9/OC1CC=CC1.pickle,qm9,canonical
732,CCC(=O)c1ccco1,CCC(=O)c1ccco1,qm9/CCC(=O)c1ccco1.pickle,qm9,canonical
739,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,drugs/OCc1ccccc1OC1OC(CO)C(O)C(O)C1O.pickle,drugs,canonical
741,CCOc1ccccn1,CCOc1ccccn1,qm9/CCOc1ccccn1.pickle,qm9,canonical
742,CCc1ccncc1,CCc1ccncc1,qm9/CCc1ccncc1.pickle,qm9,canonical
744,Cc1ccc(C)nc1,Cc1ccc(C)nc1,qm9/Cc1ccc(C)nc1.pickle,qm9,canonical
756,Cc1cc(O)c(C=O)c2c1C(=O)Oc1c(COC(=O)/C=C/C(=O)O)c(O)c(C(=O)O)c(C)c1O2,Cc1cc(O)c(C=O)c2c1C(=O)Oc1c(COC(=O)C=CC(=O)O)c(O)c(C(=O)O)c(C)c1O2,drugs/Cc1cc(O)c(C=O)c2c1C(=O)Oc1c(COC(=O)C=CC(=O)O)c(O)c(C(=O)O)c(C)c1O2.pickle,drugs,no_stereo
762,C1CCCCC1,C1CCCCC1,qm9/C1CCCCC1.pickle,qm9,canonical
763,C1CCCCCC1,C1CCCCCC1,qm9/C1CCCCCC1.pickle,qm9,canonical
780,CC(=O)Cc1cc(=O)c2c(C)cc(O)c(C3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2o1,CC(=O)Cc1cc(=O)c2c(C)cc(O)c(C3OC(CO)C(O)C(O)C3O)c2o1,drugs/CC(=O)Cc1cc(=O)c2c(C)cc(O)c(C3OC(CO)C(O)C(O)C3O)c2o1.pickle,drugs,no_stereo
860,[H]OCC1CCCN2CCCCC12,OCC1CCCN2CCCCC12,drugs/OCC1CCCN2CCCCC12.pickle,drugs,canonical
866,c1cnccn1,c1cnccn1,qm9/c1cnccn1.pickle,qm9,canonical
872,Cc1cc(=O)cc(C)o1,Cc1cc(=O)cc(C)o1,qm9/Cc1cc(=O)cc(C)o1.pickle,qm9,canonical
900,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,drugs/Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1.pickle,drugs,canonical
901,[H][C@@]12CCCN1C(=O)[C@]([H])(Cc1ccccc1)NC2=O,O=C1N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]12,drugs/O=C1N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]12.pickle,drugs,canonical
903,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,drugs/CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO.pickle,drugs,canonical
932,COC(=O)c1cc(OC)c(OC)c(OC)c1,COC(=O)c1cc(OC)c(OC)c(OC)c1,drugs/COC(=O)c1cc(OC)c(OC)c(OC)c1.pickle,drugs,canonical
954,O=C1CCc2ccccc21,O=C1CCc2ccccc21,drugs/O=C1CCc2ccccc21.pickle,drugs,canonical
959,CCC(N)=O,CCC(N)=O,qm9/CCC(N)=O.pickle,qm9,canonical
960,CCC,CCC,qm9/CCC.pickle,qm9,canonical
963,CCCC,CCCC,qm9/CCCC.pickle,qm9,canonical
987,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,drugs/Oc1ccc(_C=C_c2cc(O)cc(O)c2)cc1.pickle,drugs,canonical
1061,CCC(C=O)CC,CCC(C=O)CC,qm9/CCC(C=O)CC.pickle,qm9,canonical
1062,CC(C)CC=O,CC(C)CC=O,qm9/CC(C)CC=O.pickle,qm9,canonical
1065,CCCC(=O)CC,CCCC(=O)CC,qm9/CCCC(=O)CC.pickle,qm9,canonical
1067,CCC(=O)CCC=O,CCC(=O)CCC=O,qm9/CCC(=O)CCC=O.pickle,qm9,canonical
1068,CCC#CCC=O,CCC#CCC=O,qm9/CCC#CCC=O.pickle,qm9,canonical
1093,CC(C)(C)c1cc[nH]n1,CC(C)(C)c1cc[nH]n1,qm9/CC(C)(C)c1cc[nH]n1.pickle,qm9,canonical
1108,O=CNC1CCCCC1,O=CNC1CCCCC1,qm9/O=CNC1CCCCC1.pickle,qm9,canonical
