graph_idx,graph_smiles,canonical_smiles,pickle_path,source,match_type
4,O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,drugs/O=C1c2ccccc2C(=O)c2c1ccc(O)c2O.pickle,drugs,canonical
31,c1ccccc1,c1ccccc1,qm9/c1ccccc1.pickle,qm9,canonical
32,CCCCC,CCCCC,qm9/CCCCC.pickle,qm9,canonical
36,COC(=O)CC(C)=O,COC(=O)CC(C)=O,qm9/COC(=O)CC(C)=O.pickle,qm9,canonical
39,CCOCC,CCOCC,qm9/CCOCC.pickle,qm9,canonical
40,CC(C)CCC#N,CC(C)CCC#N,qm9/CC(C)CCC#N.pickle,qm9,canonical
41,CC(C)(C)O,CC(C)(C)O,qm9/CC(C)(C)O.pickle,qm9,canonical
44,CC(O)CO,CC(O)CO,drugs/CC(O)CO.pickle,drugs,canonical
45,CC(C)(O)C(C)(C)O,CC(C)(O)C(C)(C)O,qm9/CC(C)(O)C(C)(C)O.pickle,qm9,canonical
47,C#CCCCCCCC,C#CCCCCCCC,qm9/C#CCCCCCCC.pickle,qm9,canonical
54,C1=C\CC/C=C\CC/1,C1=CCCC=CCC1,qm9/C1=CCCC=CCC1.pickle,qm9,no_stereo
55,C1=CCOC1,C1=CCOC1,qm9/C1=CCOC1.pickle,qm9,canonical
58,Cc1ccc(C=O)cc1,Cc1ccc(C=O)cc1,qm9/Cc1ccc(C=O)cc1.pickle,qm9,canonical
61,Cn1ccnc1,Cn1ccnc1,qm9/Cn1ccnc1.pickle,qm9,canonical
66,OC1CC=CC1,OC1CC=CC1,qm9/OC1CC=CC1.pickle,qm9,canonical
76,CCC(=O)c1ccco1,CCC(=O)c1ccco1,qm9/CCC(=O)c1ccco1.pickle,qm9,canonical
80,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,drugs/OCc1ccccc1OC1OC(CO)C(O)C(O)C1O.pickle,drugs,canonical
82,CCOc1ccccn1,CCOc1ccccn1,qm9/CCOc1ccccn1.pickle,qm9,canonical
83,CCc1ccncc1,CCc1ccncc1,qm9/CCc1ccncc1.pickle,qm9,canonical
85,Cc1ccc(C)nc1,Cc1ccc(C)nc1,qm9/Cc1ccc(C)nc1.pickle,qm9,canonical
97,C1CCCCC1,C1CCCCC1,qm9/C1CCCCC1.pickle,qm9,canonical
98,C1CCCCCC1,C1CCCCCC1,qm9/C1CCCCCC1.pickle,qm9,canonical
130,Cc1cc(=O)cc(C)o1,Cc1cc(=O)cc(C)o1,qm9/Cc1cc(=O)cc(C)o1.pickle,qm9,canonical
157,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,drugs/CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO.pickle,drugs,canonical
182,COC(=O)c1cc(OC)c(OC)c(OC)c1,COC(=O)c1cc(OC)c(OC)c(OC)c1,drugs/COC(=O)c1cc(OC)c(OC)c(OC)c1.pickle,drugs,canonical
191,O=C1CCc2ccccc21,O=C1CCc2ccccc21,drugs/O=C1CCc2ccccc21.pickle,drugs,canonical
216,[H]C([H])=C([H])COc1cc(OC)c(OC)c(OC)c1,C=CCOc1cc(OC)c(OC)c(OC)c1,drugs/C=CCOc1cc(OC)c(OC)c(OC)c1.pickle,drugs,canonical
262,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,drugs/Oc1ccc(_C=C_c2cc(O)cc(O)c2)cc1.pickle,drugs,canonical
284,CCC(C=O)CC,CCC(C=O)CC,qm9/CCC(C=O)CC.pickle,qm9,canonical
